Business Name,Category,Full Address,Phone,Website,Rating (5),Phone Verified,Source
Forte Milano,restaurants,"Via Benvenuto Cellini, 14, 20129 Milano MI",02 9476 7782,https://fortemilano.com,4.6,Yes,Google Maps
Ristorante Galleria,restaurants,"Galleria Vittorio Emanuele II, 75, 20121 Milano MI",02 8646 4912,https://ristorantegalleria.it,4.5,Yes,Google Maps
Risoelatte Duomo,restaurants,"Via Manfredo Camperio, 6, 20123 Milano MI",02 3983 1040,https://risoelatte.com,4.5,Yes,Google Maps
Cactus Milano,restaurants,"Via Varese, 4, 20121 Milano MI",347 054 4982,https://cactusmilano.it,4.5,Yes,Google Maps
Osteria Conchetta,restaurants,"Via Conchetta, 8, 20136 Milano MI",02 837 2917,https://www.osteriaconchetta.it,4.5,Yes,Google Maps
Le Striatelle di nonna Mafalda,restaurants,"Via Vigevano, 11, 20144 Milano MI",02 3981 1590,http://lestriatelle.it,4.5,Yes,Google Maps
Terrazza Calabritto Milano,restaurants,"Viale Monte Grappa, 7, 20124 Milano MI",02 6379 3923,http://milano.terrazzacalabritto.it,4.5,Yes,Google Maps
Bistrot Bertarelli 1894 Milano,restaurants,"Corso Italia, 10, 20122 Milano MI",02 1241 28310,http://www.bistrotbertarelli1894.com,4.5,Yes,Google Maps
La Volta at RH Milan,restaurants,"Corso Venezia, 56, 20121 Milano MI",02 8128 9528,https://rh.com/milan/lavolta,4.5,Yes,Google Maps
Trattoria Mibabbo,restaurants,"Via Lazzaro Papi angolo, C.so Lodi, 20135 Milano MI",02 4548 8997,http://www.mibabbo.it,4.5,Yes,Google Maps
Ristorante Belé Navigli,restaurants,"Via Angelo Fumagalli, 3, 20143 Milano MI",02 3664 2933,,4.5,Yes,Google Maps
All'Antico Vinaio Milano,restaurants,"Piazza Luigi di Savoia, 1/15, 20124 Milano MI",02 6707 6735,https://www.allanticovinaio.com,4.4,Yes,Google Maps
Mercato Centrale Milano,restaurants,"Via Giovanni Battista Sammartini, 2, 20125 Milano MI",02 3792 8400,https://www.mercatocentrale.it/milano,4.4,Yes,Google Maps
Paper Moon Giardino,restaurants,"Via Bagutta, 12, 20121 Milano MI",02 7600 9895,https://www.papermoongiardino.com,4.4,Yes,Google Maps
Osteria Mamma Rosa-Ristorante pesce Milano,restaurants,"P.zza Cincinnato, 4, 20124 Milano MI",02 2952 2076,http://www.osteriamammarosa.it,4.4,Yes,Google Maps
Etereo,restaurants,"Piazzetta M. Bossi, 2, 20121 Milano MI",02 3054 35416,https://www.etereorooftop.com/it,4.2,Yes,Google Maps
Maio Restaurant Milano,restaurants,"Via Santa Radegonda, 3, 20121 Milano MI",02 885 2455,http://www.maiorestaurant.com,3.9,Yes,Google Maps
The Dome | Rooftop & Restaurant,restaurants,"Via Giuseppe Mazzini, 2, 20123 Milano MI",345 150 7992,http://www.thedomemilano.com,3.7,Yes,Google Maps
